timestamp,solver_type,total_moves,time,finished,turns
2024-12-30 23:36:18,zigzag,20007,1.74,True,160
2024-12-30 23:36:25,zigzag,19333,6.46,True,154
2024-12-30 23:36:27,zigzag,5289,0.44,True,42
2024-12-30 23:36:29,zigzag,3613,0.74,True,28
2024-12-30 23:36:35,zigzag,8209,4.95,True,64
2024-12-30 23:36:51,zigzag,33091,15.01,True,264
2024-12-30 23:36:52,zigzag,2536,0.37,True,20
2024-12-30 23:36:54,zigzag,4258,0.51,True,34
2024-12-30 23:36:55,zigzag,4517,0.73,True,36
2024-12-30 23:37:16,zigzag,37117,20.05,True,296
